scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Myophonus horsfieldii,bio4a,-3.47858440705425,0.58553509503484,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,lc_01,9.24748997899786,0.925644940382455,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,lc_02,2.55713416189595,0.564888113431945,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Myophonus horsfieldii,lc_07,2.89254495294236,0.630375693871112,Passeriformes,Malabar Whistling-Thrush,mawthr1,OC,Forest,"forest, forest edges and streams",15.79117285,117,2.068185862,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pericrocotus flammeus,bio4a,-2.37822212677887,0.468992570176394,Passeriformes,Orange Minivet,scamin3,FOR,Forest,forest bird,27.33760301,23.3,1.367355921,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Iole indica,bio4a,-3.18525312359462,0.519252487012726,Passeriformes,Yellow-browed Bulbul,yebbul3,FOR,Forest,forest bird,15.38598123,30.6,1.485721426,Herbivore,Omnivore,Not a Migrant,1,resident,omnivore
Motacilla cinerea,bio4a,1.01104166833623,0.388874322140387,Passeriformes,Grey wagtail,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Motacilla cinerea,lc_01,2.43791040673399,0.717594083934677,Passeriformes,Grey wagtail,,OC,Generalist,Open habitats,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lanius cristatus,bio4a,-1.30771616185452,0.55383892935065,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius cristatus,lc_01,1.86777004121211,0.697666433807508,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Lanius cristatus,lc_05,-2.01760485102017,0.8066290679133,Passeriformes,Brown Shrike,brnshr,OC,Forest,Some level of association with forest/forest edge,26.95579136,33.5,1.50758604,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Zosterops palpebrosus,bio15a,4.13687155288045,1.04658257516344,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Zosterops palpebrosus,bio4a,19.3979932196396,1.81198262259901,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Zosterops palpebrosus,lc_01,4.25253104197958,0.889772875502225,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Zosterops palpebrosus,lc_02,-3.84984087114507,0.81968857790611,Passeriformes,Indian White-eye,indwhe1,OC,Generalist,"Occurs in a mix of habitat types, including forest",21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Hierococcyx varius,bio4a,-2.20411104153004,0.459659325940236,Cuculiformes,Common Hawk-Cuckoo,cohcuc1,OC,Forest,UNSURE,34.94873606,103,2.012837225,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Cinnyris lotenius,bio4a,-4.80671342194244,0.737734631009407,Passeriformes,Loten's Sunbird,lobsun2,FOR,Forest,wooded areas and human habitation,14.2241907,8,0.942999593,Omnivore,Nectarivore,Not a Migrant,1,resident,omnivore
Dicrurus leucophaeus,bio4a,-1.16973572949315,0.426304115930893,Passeriformes,Ashy Drongo,ashdro1,OC,Forest,Observed in mostly forested areas (seen in Eucalyptus in Valparai),30.10929264,37.6,1.575187845,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Dicrurus leucophaeus,lc_05,-2.19866489322806,0.753970406867663,Passeriformes,Ashy Drongo,ashdro1,OC,Forest,Observed in mostly forested areas (seen in Eucalyptus in Valparai),30.10929264,37.6,1.575187845,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Loriculus vernalis,bio15a,2.32820855238591,0.605252935207327,Psittaciformes,Vernal Hanging-Parrot,vehpar1,OC,Forest,Forest bird,45.63002759,35.7,1.552668216,Herbivore,Frugivore,Full Migrant,1,resident,fruit
Loriculus vernalis,bio4a,-4.77129902322529,0.486595603162906,Psittaciformes,Vernal Hanging-Parrot,vehpar1,OC,Forest,Forest bird,45.63002759,35.7,1.552668216,Herbivore,Frugivore,Full Migrant,1,resident,fruit
Loriculus vernalis,lc_01,3.88611392307322,1.19241541257667,Psittaciformes,Vernal Hanging-Parrot,vehpar1,OC,Forest,Forest bird,45.63002759,35.7,1.552668216,Herbivore,Frugivore,Full Migrant,1,resident,fruit
Pycnonotus luteolus,bio15a,-3.61708315418916,0.750780714459996,Passeriformes,White-browed Bulbul,whbbul2,OC,Generalist,open habitats/scrubby jungle,11.20238876,34.7,1.540329475,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Pycnonotus luteolus,bio4a,4.04668713139363,0.645533356523783,Passeriformes,White-browed Bulbul,whbbul2,OC,Generalist,open habitats/scrubby jungle,11.20238876,34.7,1.540329475,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
