sampling_event_identifier,nSp,totSoiSeen
S18230942,12,12
S18230875,12,12
S18210687,9,9
S18161343,9,9
S18351513,4,4
S18296212,7,7
S18211752,8,8
S18387759,9,9
S18296364,7,7
S18230699,11,11
S18161454,7,7
S18368067,6,6
S18296178,1,1
S18161576,4,4
S18246789,3,3
S19769476,26,26
S51287519,5,5
S51287558,9,9
S21107579,11,11
S35041824,14,14
S51287283,7,7
S51287926,2,2
S51287413,2,2
S51287891,6,6
S51287587,5,5
S51287971,5,5
S51287358,3,3
S51287319,6,6
S51287847,4,4
S51287384,4,4
S18560493,10,10
S18560607,7,7
S19981062,8,8
S51287994,2,2
S27131507,21,21
S20814664,26,26
S21424128,12,12
S21063775,5,5
S22749798,5,5
S20923708,51,51
S20995667,23,23
S20923686,51,51
S21107657,11,11
S21028742,9,9
S20983846,30,30
S37174410,30,30
S20995397,26,26
S20814584,17,17
S21050175,16,16
S21108328,14,14
S21107314,22,22
S37636684,6,6
S47627786,28,28
S21066601,17,17
S21078043,21,21
S20814614,10,10
S21107430,6,6
S20992643,5,5
S21078025,11,11
S21203839,21,21
S66806505,9,9
S20814511,6,6
S65358137,3,3
S20814524,7,7
S66806554,3,3
S21248517,4,4
S21005873,1,1
S39930364,28,28
S21005502,32,32
S21030969,35,35
S21111076,9,9
S21005470,1,1
S20814762,4,4
S22607761,22,22
S22607783,20,20
S22607784,14,14
S41770652,29,29
S26429440,36,36
S22607776,36,36
S20814758,3,3
S20806642,20,20
S21221196,1,1
S20898611,3,3
S20837833,7,7
S20837858,3,3
S20898612,7,7
S21006810,3,3
S21006808,7,7
S20995869,33,33
S21006813,3,3
S20898610,3,3
S21006818,6,6
S20971897,33,33
S20898607,6,6
S20837890,6,6
S20837867,3,3
S20837840,5,5
S20898613,5,5
S21006807,5,5
S20852308,6,6
S20837770,6,6
S20898615,6,6
S21006806,6,6
S21079730,9,9
S22607782,21,21
S20741782,4,4
S21006820,1,1
S20898606,1,1
S20837902,1,1
S22607734,13,13
S21063764,6,6
S20837817,6,6
S20815033,21,21
S21038209,29,29
S21080964,10,10
S21108236,17,17
S21093517,10,10
S20814788,21,21
S21077761,10,10
S32691499,12,12
S20950835,19,19
S21132749,10,10
S42175971,18,18
S25342630,16,16
S21130337,32,32
S20959871,19,19
S26211192,22,22
S21077711,16,16
S21109431,30,30
S21079236,9,9
S21696743,22,22
S26211194,18,18
S21063156,16,16
S26856002,16,16
S21093491,9,9
S21696951,18,18
S20960333,19,19
S21063249,16,16
S20942457,8,8
S21006081,8,8
S24350106,10,10
S21109343,32,32
S25342625,9,9
S20942424,8,8
S21109070,32,32
S21093521,16,16
S24977976,10,10
S21110849,32,32
S20942463,8,8
S21063423,17,17
S21081026,9,9
S21077709,15,15
S21078963,15,15
S21063116,15,15
S21093493,6,6
S20942462,12,12
S25342608,15,15
S21063247,14,14
S21080993,6,6
S25342628,6,6
S25342620,15,15
S21313177,12,12
S21079181,6,6
S21063184,15,15
S21063245,15,15
S20942458,12,12
S21093520,15,15
S32691615,4,4
S21092309,15,15
S21006082,12,12
S21093348,11,11
S21038153,10,10
S21063420,15,15
S20942415,12,12
S21063424,18,18
S21080978,15,15
S26855997,6,6
S20942364,11,11
S21093514,15,15
S20898777,21,21
S21077708,15,15
S21139082,6,6
S20814813,12,12
S21108444,24,24
S20898663,13,13
S25342636,15,15
S32692984,7,7
S21093522,15,15
S26855998,8,8
S26855996,11,11
S26855993,6,6
S20942973,15,15
S26855999,11,11
S20942961,15,15
S20943685,15,15
S21006088,15,15
S27792190,9,9
S20850661,9,9
S20936287,8,8
S20775463,8,8
S27617752,20,20
