scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.type
Pavo cristatus,Precipitation seasonality,-1.922952969,0.597517663,Galliformes,Indian Peafowl,compea,Forest
Pavo cristatus,Temperature seasonality,1.390047124,0.405208693,Galliformes,Indian Peafowl,compea,Forest
Pavo cristatus,Grasslands,-2.828607638,0.998906859,Galliformes,Indian Peafowl,compea,Forest
Acrocephalus dumetorum,Temperature seasonality,1.064215569,0.463844723,Passeriformes,Blyth's Reed Warbler,blrwar1,Forest
Acrocephalus dumetorum,Evergreen forests,3.286091741,1.374540925,Passeriformes,Blyth's Reed Warbler,blrwar1,Forest
Dinopium benghalense,Temperature seasonality,-4.215096598,0.47587582,Piciformes,Black-rumped Flameback,bkrfla1,Forest
Cinnyris asiaticus,Temperature seasonality,1.007306573,0.395105146,Passeriformes,Purple Sunbird,pursun4,Forest
Merops orientalis,Evergreen forests,-4.267485637,1.993907511,Coraciiformes,Green Bee-eater,grbeat1,Forest
Prinia socialis,Temperature seasonality,1.649434541,0.532334853,Passeriformes,Ashy prinia,,Forest
Prinia socialis,Plantations,3.754227788,1.261364772,Passeriformes,Ashy prinia,,Forest
Streptopelia chinensis,Temperature seasonality,7.138698865,0.811424327,Columbiformes,Spotted Dove,spodov,Forest
Streptopelia chinensis,Agriculture/settlements,20.78502425,5.234196307,Columbiformes,Spotted Dove,spodov,Forest
Streptopelia chinensis,Grasslands,-2.632900122,0.469790345,Columbiformes,Spotted Dove,spodov,Forest
Streptopelia chinensis,Plantations,2.528886628,0.87563866,Columbiformes,Spotted Dove,spodov,Forest
Copsychus saularis,Temperature seasonality,-0.902843082,0.391343074,Passeriformes,Oriental Magpie-Robin,magrob,Forest
Copsychus saularis,Plantations,4.934910835,1.765491116,Passeriformes,Oriental Magpie-Robin,magrob,Forest
Pycnonotus cafer,Precipitation seasonality,-1.49706316,0.538921906,Passeriformes,Red-vented Bulbul,revbul,Forest
Pycnonotus cafer,Temperature seasonality,1.546182192,0.448301944,Passeriformes,Red-vented Bulbul,revbul,Forest
Centropus sinensis,Precipitation seasonality,1.880623661,0.59229607,Cuculiformes,Greater Coucal,grecou1,Forest
Centropus sinensis,Temperature seasonality,-1.288426741,0.436457643,Cuculiformes,Greater Coucal,grecou1,Forest
Centropus sinensis,Grasslands,-2.440263383,0.38277204,Cuculiformes,Greater Coucal,grecou1,Forest
Leptocoma zeylonica,Temperature seasonality,-2.039112996,0.386581695,Passeriformes,Purple-rumped Sunbird,pursun3,Forest
Leptocoma zeylonica,Water bodies,6.379709241,2.840549635,Passeriformes,Purple-rumped Sunbird,pursun3,Forest
Pycnonotus jocosus,Temperature seasonality,-1.69174915,0.421546117,Passeriformes,Red-whiskered Bulbul,rewbul,Forest
Pycnonotus jocosus,Agriculture/settlements,-2.167906878,0.318594911,Passeriformes,Red-whiskered Bulbul,rewbul,Forest
Pycnonotus jocosus,Plantations,30.5459565,7.342016104,Passeriformes,Red-whiskered Bulbul,rewbul,Forest
Psittacula krameri,Precipitation seasonality,2.899376286,0.778580622,Psittaciformes,Rose-ringed Parakeet,rorpar,Forest
Psittacula krameri,Mixed/degraded forests,4.168509242,2.031964235,Psittaciformes,Rose-ringed Parakeet,rorpar,Forest
Dicrurus macrocercus,Temperature seasonality,-1.878682829,0.400417344,Passeriformes,Black Drongo,bladro1,Forest
Halcyon smyrnensis,Precipitation seasonality,2.124908293,0.572514186,Coraciiformes,White-throated Kingfisher,whtkin2,Forest
Halcyon smyrnensis,Temperature seasonality,-1.69731118,0.386103486,Coraciiformes,White-throated Kingfisher,whtkin2,Forest
Columba livia,Precipitation seasonality,1.829953742,0.675335242,Columbiformes,Rock Pigeon,rocpig,Forest
Columba livia,Evergreen forests,-2.832953211,1.376950051,Columbiformes,Rock Pigeon,rocpig,Forest
Corvus macrorhynchos,Precipitation seasonality,3.276445258,0.905849474,Passeriformes,Large-billed Crow,labcro1,Forest
Corvus macrorhynchos,Water bodies,4.069430079,2.037540976,Passeriformes,Large-billed Crow,labcro1,Forest
Acridotheres tristis,Evergreen forests,-5.285685612,1.711812668,Passeriformes,Common Myna,commyn,Forest
Acridotheres tristis,Plantations,-3.539062315,1.703796714,Passeriformes,Common Myna,commyn,Forest
Corvus splendens,Precipitation seasonality,1.850446307,0.529581299,Passeriformes,House Crow,houcro1,Forest
Corvus splendens,Agriculture/settlements,2.504017408,1.166868363,Passeriformes,House Crow,houcro1,Forest
