scientific_name,predictor,coefficient,se,order,common_name,eBird_spp_codes,Habitat.use,Habitat.type,Notes,HWI,Body.mass,Log.transformed.Body.Mass,TrophicLevel,TrophicNiche,Migration.1,Migration.2,Migration.3,Diet
Psilopogon malabaricus,bio_1,41.1928023012411,5.20553131674878,Piciformes,Malabar Barbet,crfbar1,FOR,Forest,forest endemic,29.02505264,37.6,1.575187845,Omnivore,Frugivore,Not a Migrant,1,resident,NA
Psilopogon malabaricus,Ibio_1^2,-30.94551064113,3.90868131806431,Piciformes,Malabar Barbet,crfbar1,FOR,Forest,forest endemic,29.02505264,37.6,1.575187845,Omnivore,Frugivore,Not a Migrant,1,resident,NA
Psilopogon malabaricus,bio_12,14.8081406216493,2.44056726875371,Piciformes,Malabar Barbet,crfbar1,FOR,Forest,forest endemic,29.02505264,37.6,1.575187845,Omnivore,Frugivore,Not a Migrant,1,resident,NA
Psilopogon malabaricus,Ibio_12^2,-9.8348031230649,1.97793075668235,Piciformes,Malabar Barbet,crfbar1,FOR,Forest,forest endemic,29.02505264,37.6,1.575187845,Omnivore,Frugivore,Not a Migrant,1,resident,NA
Pomatorhinus horsfieldii,bio_1,13.29690947712,1.77523770146146,Passeriformes,Indian Scimitar-Babbler,insbab1,OC,Forest,forest edges,7.890830663,43,1.633468456,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pomatorhinus horsfieldii,Ibio_1^2,-19.0064358897553,1.859690375881,Passeriformes,Indian Scimitar-Babbler,insbab1,OC,Forest,forest edges,7.890830663,43,1.633468456,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pomatorhinus horsfieldii,bio_12,5.74933322901098,2.10149996029513,Passeriformes,Indian Scimitar-Babbler,insbab1,OC,Forest,forest edges,7.890830663,43,1.633468456,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Pomatorhinus horsfieldii,lc_05,-1.18544908245391,0.542206084320334,Passeriformes,Indian Scimitar-Babbler,insbab1,OC,Forest,forest edges,7.890830663,43,1.633468456,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Leptocoma minima,lc_01,3.47141710704641,0.71948448674466,Passeriformes,Crimson-backed Sunbird,crbsun2,FOR,Forest,forest bird,13.63501565,5,0.689308859,Omnivore,Nectarivore,Not a Migrant,1,resident,omnivore
Geokichla citrina,bio_1,7.77187598893215,2.95543580115684,Passeriformes,Orange-headed Thrush,orhthr1,OC,Forest,Skulks around forested and non-forested areas,29.62560681,53.5,1.726727209,Omnivore,Invertivore,Full Migrant,3,directional migratory,omnivore
Geokichla citrina,bio_12,8.9159471211671,1.75532753444337,Passeriformes,Orange-headed Thrush,orhthr1,OC,Forest,Skulks around forested and non-forested areas,29.62560681,53.5,1.726727209,Omnivore,Invertivore,Full Migrant,3,directional migratory,omnivore
Geokichla citrina,Ibio_12^2,-5.21667324004013,1.48905382743312,Passeriformes,Orange-headed Thrush,orhthr1,OC,Forest,Skulks around forested and non-forested areas,29.62560681,53.5,1.726727209,Omnivore,Invertivore,Full Migrant,3,directional migratory,omnivore
Geokichla citrina,lc_07,1.88602811485604,0.770396980012154,Passeriformes,Orange-headed Thrush,orhthr1,OC,Forest,Skulks around forested and non-forested areas,29.62560681,53.5,1.726727209,Omnivore,Invertivore,Full Migrant,3,directional migratory,omnivore
Merops leschenaulti,bio_1,9.62533535558625,1.77156811198333,Coraciiformes,Chestnut-headed Bee-eater,chbeat1,OC,Forest,Observed in forest edges (migrant),41.36177249,27.2,1.434568904,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Merops leschenaulti,Ibio_1^2,-7.45992223790495,1.53196591185141,Coraciiformes,Chestnut-headed Bee-eater,chbeat1,OC,Forest,Observed in forest edges (migrant),41.36177249,27.2,1.434568904,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Merops leschenaulti,lc_01,1.48907893199767,0.432879706501747,Coraciiformes,Chestnut-headed Bee-eater,chbeat1,OC,Forest,Observed in forest edges (migrant),41.36177249,27.2,1.434568904,Carnivore,Invertivore,Full Migrant,1,directional migratory,invertebrates
Ocyceros griseus,bio_1,16.4029669099904,4.01020840916318,Bucerotiformes,Malabar Gray Hornbill,maghor2,FOR,Forest,forest bird,16.59582064,292,2.465382851,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Ocyceros griseus,Ibio_1^2,-8.11859382400092,3.05854815372562,Bucerotiformes,Malabar Gray Hornbill,maghor2,FOR,Forest,forest bird,16.59582064,292,2.465382851,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
Ocyceros griseus,bio_12,11.0500423834364,2.22600432983029,Bucerotiformes,Malabar Gray Hornbill,maghor2,FOR,Forest,forest bird,16.59582064,292,2.465382851,Herbivore,Frugivore,Not a Migrant,1,resident,fruit
