order,scientific_name,common_name,eBird_spp_codes,Habitat use,HWI,Body mass,Log-transformed Body Mass,TrophicLevel,TrophicNiche,Migration-1,Migration-2,Migration-3,Diet
Columbiformes,Treron affinis,Gray-fronted Green-Pigeon,pomgrp2,FOR,35.56857414,234,2.369215857,Herbivore,Frugivore,Not a Migrant,1,resident,NA
Passeriformes,Turdoides affinis,Yellow-billed Babbler,yebbab1,OC,11.75510103,66,1.80126647,Omnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Turdoides striata,Jungle Babbler,junbab2,OC,9.46000401,66,1.819478128,Omnivore,Omnivore,Not a Migrant,1,resident,omnivore
Passeriformes,Turdoides subrufa,Rufous Babbler,rufbab3,OC,7.066970696,67.5,1.823930455,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Turdus simillimus,Indian Blackbird,eurbla2,OC,20.28216919,74.9,1.874481818,Omnivore,Omnivore,NA,1,directional migratory,NA
Bucerotiformes,Upupa epops,Eurasian Hoopoe,hoopoe,OC,21.7746589,61.4,1.825620825,Carnivore,Invertivore,Full Migrant,3,directional migratory,invertebrates
Piciformes,Yungipicus nanus,Brown-capped Woodpecker,bncwoo3,OC,27.36251687,14,1.208172527,Carnivore,Invertivore,Not a Migrant,1,resident,invertebrates
Passeriformes,Zosterops palpebrosus,Indian White-eye,indwhe1,OC,21.11433824,8.6,0.934498451,Omnivore,Omnivore,Full Migrant,1,resident,omnivore
Passeriformes,Motacilla cinerea,Grey wagtail,,OC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passeriformes,Motacilla maderaspatensis,White-browed wagtail,,OC,NA,NA,NA,NA,NA,NA,NA,NA,NA
Passeriformes,Prinia socialis,Ashy prinia,,OC,NA,NA,NA,NA,NA,NA,NA,NA,NA
